Date,MOVE
2008-12,223.4
2008-12,222.7
2008-12,214.5
2008-12,194.9
2008-12,182.1
2008-12,194.6
2008-12,195.8
2008-12,194.6
2008-12,193.8
2008-12,193.8
2008-12,193.8
2008-12,193.5
2008-12,192.1
2008-12,192.6
2008-12,190.0
2008-12,190.0
2009-01,183.1
2009-01,171.0
2009-01,160.4
2009-01,151.7
2009-01,149.9
2009-01,138.0
2009-01,134.8
2009-01,119.5
2009-01,119.4
2009-01,129.5
2009-01,126.9
2009-01,126.9
2009-01,136.5
2009-01,151.0
2009-01,153.1
2009-01,155.3
2009-01,145.3
2009-01,141.2
2009-01,136.7
2009-01,147.8
2009-01,162.9
2009-02,163.4
2009-02,161.2
2009-02,172.5
2009-02,173.7
2009-02,182.1
2009-02,170.2
2009-02,172.3
2009-02,157.0
2009-02,151.0
2009-02,158.7
2009-02,158.7
2009-02,163.2
2009-02,159.2
2009-02,161.9
2009-02,165.5
2009-02,157.4
2009-02,154.4
2009-02,164.3
2009-02,163.0
2009-02,166.6
2009-03,164.0
2009-03,164.9
2009-03,166.3
2009-03,162.2
2009-03,159.2
2009-03,160.5
2009-03,153.4
2009-03,147.0
2009-03,146.3
2009-03,143.8
2009-03,140.9
2009-03,142.7
2009-03,142.9
2009-03,125.6
2009-03,124.0
2009-03,119.0
2009-03,119.3
2009-03,118.3
2009-03,120.5
2009-03,117.9
2009-03,116.9
2009-03,117.3
2009-04,112.6
2009-04,111.7
2009-04,119.7
2009-04,122.9
2009-04,118.5
2009-04,119.7
2009-04,119.7
2009-04,119.7
2009-04,116.4
2009-04,107.7
2009-04,105.6
2009-04,109.0
2009-04,115.8
2009-04,115.1
2009-04,115.8
2009-04,120.2
2009-04,120.2
2009-04,125.8
2009-04,125.8
2009-04,122.6
2009-04,120.7
2009-04,124.2
2009-05,129.2
2009-05,127.8
2009-05,125.4
2009-05,125.2
2009-05,129.1
2009-05,130.5
2009-05,124.7
2009-05,126.3
2009-05,126.2
2009-05,123.5
2009-05,122.3
2009-05,122.1
2009-05,122.7
2009-05,122.6
2009-05,129.8
2009-05,147.2
2009-05,147.2
2009-05,146.1
2009-05,163.8
2009-05,167.5
2009-05,165.4
2009-06,190.3
2009-06,183.9
2009-06,162.9
2009-06,169.0
2009-06,183.4
2009-06,183.0
2009-06,175.3
2009-06,178.4
2009-06,171.7
2009-06,171.8
2009-06,166.5
2009-06,167.2
2009-06,170.1
2009-06,187.3
2009-06,182.3
2009-06,173.2
2009-06,173.1
2009-06,164.9
2009-06,161.0
2009-06,159.0
2009-06,158.4
2009-06,162.5
2009-07,161.6
2009-07,149.1
2009-07,149.1
2009-07,148.1
2009-07,138.6
2009-07,136.5
2009-07,136.5
2009-07,135.9
2009-07,137.8
2009-07,145.0
2009-07,151.8
2009-07,148.9
2009-07,156.3
2009-07,149.7
2009-07,143.9
2009-07,144.4
2009-07,147.3
2009-07,143.6
2009-07,143.1
2009-07,140.2
2009-07,139.6
2009-07,139.1
2009-07,138.5
2009-08,141.1
2009-08,141.0
2009-08,145.4
2009-08,147.7
2009-08,153.4
2009-08,149.1
2009-08,149.9
2009-08,147.5
2009-08,145.8
2009-08,144.7
2009-08,144.2
2009-08,136.7
2009-08,136.0
2009-08,131.9
2009-08,132.3
2009-08,131.1
2009-08,130.1
2009-08,125.5
2009-08,125.4
2009-08,129.1
2009-08,130.7
2009-09,135.0
2009-09,137.6
2009-09,134.1
2009-09,127.6
2009-09,127.6
2009-09,123.2
2009-09,114.6
2009-09,117.4
2009-09,114.7
2009-09,116.5
2009-09,119.6
2009-09,123.7
2009-09,121.8
2009-09,121.4
2009-09,118.4
2009-09,118.0
2009-09,111.9
2009-09,109.8
2009-09,110.7
2009-09,109.9
2009-09,115.2
2009-09,113.8
2009-10,112.6
2009-10,107.8
2009-10,105.7
2009-10,107.2
2009-10,105.1
2009-10,101.8
2009-10,114.7
2009-10,114.7
2009-10,111.1
2009-10,115.4
2009-10,117.8
2009-10,117.4
2009-10,114.7
2009-10,108.9
2009-10,111.9
2009-10,111.2
2009-10,113.4
2009-10,118.5
2009-10,114.1
2009-10,113.3
2009-10,116.6
2009-10,113.5
2009-11,113.7
2009-11,114.0
2009-11,116.2
2009-11,112.7
2009-11,105.0
2009-11,99.9
2009-11,95.7
2009-11,95.7
2009-11,102.2
2009-11,97.2
2009-11,92.5
2009-11,91.2
2009-11,89.1
2009-11,86.9
2009-11,87.3
2009-11,87.7
2009-11,83.7
2009-11,82.8
2009-11,82.8
2009-11,88.9
2009-11,86.1
2009-12,87.5
2009-12,88.1
2009-12,93.1
2009-12,95.3
2009-12,89.8
2009-12,86.1
2009-12,90.0
2009-12,90.9
2009-12,94.0
2009-12,93.3
2009-12,96.8
2009-12,94.4
2009-12,92.6
2009-12,93.8
2009-12,102.6
2009-12,107.7
2009-12,102.4
2009-12,105.0
2009-12,105.0
2009-12,108.2
2009-12,108.9
2009-12,104.4
2009-12,107.5
2009-12,107.5
2010-01,106.4
2010-01,102.5
2010-01,106.9
2010-01,104.4
2010-01,96.3
2010-01,93.0
2010-01,92.7
2010-01,95.5
2010-01,91.1
2010-01,89.8
2010-01,89.8
2010-01,87.9
2010-01,88.3
2010-01,87.5
2010-01,88.3
2010-01,88.1
2010-01,88.8
2010-01,86.3
2010-01,87.9
2010-01,86.3
2010-02,85.3
2010-02,83.7
2010-02,90.0
2010-02,90.9
2010-02,89.1
2010-02,88.0
2010-02,88.1
2010-02,90.2
2010-02,89.2
2010-02,87.0
2010-02,87.0
2010-02,85.5
2010-02,85.9
2010-02,87.2
2010-02,84.9
2010-02,81.4
2010-02,83.9
2010-02,83.2
2010-02,82.2
2010-02,81.2
2010-03,79.4
2010-03,78.4
2010-03,78.9
2010-03,76.1
2010-03,78.9
2010-03,77.6
2010-03,76.3
2010-03,75.9
2010-03,75.6
2010-03,76.4
2010-03,77.3
2010-03,76.9
2010-03,74.1
2010-03,75.9
2010-03,79.4
2010-03,78.5
2010-03,78.6
2010-03,90.1
2010-03,89.5
2010-03,87.4
2010-03,87.1
2010-03,86.2
2010-03,85.3
2010-04,89.8
2010-04,90.1
2010-04,90.1
2010-04,88.6
2010-04,92.2
2010-04,90.3
2010-04,89.8
2010-04,88.2
2010-04,86.7
2010-04,85.3
2010-04,83.9
2010-04,82.9
2010-04,82.3
2010-04,78.3
2010-04,79.9
2010-04,80.1
2010-04,85.2
2010-04,83.0
2010-04,88.9
2010-04,87.2
2010-04,83.3
2010-04,85.5
2010-05,83.6
2010-05,88.7
2010-05,95.8
2010-05,116.7
2010-05,112.6
2010-05,104.4
2010-05,96.8
2010-05,93.2
2010-05,89.5
2010-05,99.8
2010-05,96.6
2010-05,97.2
2010-05,98.1
2010-05,110.9
2010-05,108.7
2010-05,107.1
2010-05,112.7
2010-05,109.9
2010-05,111.5
2010-05,112.1
2010-05,112.1
2010-06,110.3
2010-06,105.2
2010-06,104.3
2010-06,106.4
2010-06,106.1
2010-06,108.7
2010-06,106.6
2010-06,103.3
2010-06,105.9
2010-06,102.9
2010-06,99.6
2010-06,96.0
2010-06,95.2
2010-06,94.4
2010-06,87.8
2010-06,85.9
2010-06,85.2
2010-06,85.4
2010-06,84.7
2010-06,84.2
2010-06,89.8
2010-06,89.7
2010-07,93.8
2010-07,88.2
2010-07,88.2
2010-07,82.6
2010-07,86.3
2010-07,85.5
2010-07,85.1
2010-07,82.2
2010-07,80.3
2010-07,79.0
2010-07,78.1
2010-07,81.2
2010-07,79.4
2010-07,78.7
2010-07,78.4
2010-07,78.8
2010-07,78.9
2010-07,77.3
2010-07,77.1
2010-07,76.3
