,Defaut Spread (BofA EU High Yield)
2009-08,10.63
2009-08,10.64
2009-08,10.76
2009-08,10.78
2009-08,10.81
2009-08,10.9
2009-08,10.91
2009-08,10.96
2009-08,10.97
2009-08,10.96
2009-08,10.94
2009-08,10.95
2009-08,10.91
2009-08,10.81
2009-08,10.75
2009-08,10.55
2009-09,10.58
2009-09,10.63
2009-09,10.57
2009-09,10.63
2009-09,10.59
2009-09,10.5
2009-09,10.36
2009-09,10.3
2009-09,10.23
2009-09,10.05
2009-09,9.84
2009-09,9.66
2009-09,9.46
2009-09,9.4
2009-09,9.35
2009-09,9.26
2009-09,9.19
2009-09,9.15
2009-09,9.15
2009-09,9.15
2009-09,9.02
2009-09,8.83
2009-10,8.9
2009-10,9.05
2009-10,9.06
2009-10,8.96
2009-10,8.93
2009-10,8.91
2009-10,8.8
2009-10,8.78
2009-10,8.78
2009-10,8.63
2009-10,8.53
2009-10,8.48
2009-10,8.49
2009-10,8.44
2009-10,8.41
2009-10,8.42
2009-10,8.38
2009-10,8.3
2009-10,8.37
2009-10,8.42
2009-10,8.47
2009-10,8.49
2009-10,8.3
2009-11,8.31
2009-11,8.39
2009-11,8.31
2009-11,8.35
2009-11,8.35
2009-11,8.35
2009-11,8.34
2009-11,8.29
2009-11,8.32
2009-11,8.31
2009-11,8.31
2009-11,8.31
2009-11,8.28
2009-11,8.27
2009-11,8.26
2009-11,8.26
2009-11,8.34
2009-11,8.3
2009-11,8.39
2009-11,8.54
2009-11,8.13
2009-12,8.1
2009-12,8.06
2009-12,7.96
2009-12,7.87
2009-12,7.89
2009-12,7.93
2009-12,7.93
2009-12,7.91
2009-12,7.87
2009-12,7.86
2009-12,7.82
2009-12,7.81
2009-12,7.81
2009-12,7.78
2009-12,7.73
2009-12,7.69
2009-12,7.67
2009-12,7.68
2009-12,
2009-12,7.64
2009-12,7.58
2009-12,7.52
2009-12,7.55
2010-01,
2010-01,7.37
2010-01,7.15
2010-01,6.94
2010-01,6.81
2010-01,6.7
2010-01,6.61
2010-01,6.62
2010-01,6.72
2010-01,6.72
2010-01,6.71
2010-01,6.75
2010-01,6.72
2010-01,6.76
2010-01,6.81
2010-01,6.95
2010-01,6.98
2010-01,7.03
2010-01,7.03
2010-01,7.02
2010-01,7.05
2010-01,6.92
2010-02,6.99
2010-02,6.93
2010-02,6.84
2010-02,6.9
2010-02,7.12
2010-02,7.14
2010-02,7.21
2010-02,7.15
2010-02,7.17
2010-02,7.43
2010-02,7.48
2010-02,7.54
2010-02,7.41
2010-02,7.29
2010-02,7.2
2010-02,7.1
2010-02,7.16
2010-02,7.18
2010-02,7.2
2010-02,7.18
2010-02,7.64
2010-03,7.5
2010-03,7.4
2010-03,7.27
2010-03,7.21
2010-03,7.11
2010-03,6.96
2010-03,6.95
2010-03,6.86
2010-03,6.8
2010-03,6.78
2010-03,6.76
2010-03,6.77
2010-03,6.72
2010-03,6.68
2010-03,6.68
2010-03,6.72
2010-03,6.7
2010-03,6.6
2010-03,6.52
2010-03,6.5
2010-03,6.5
2010-03,6.45
2010-03,6.23
2010-04,6.22
2010-04,
2010-04,6.22
2010-04,6.15
2010-04,6.18
2010-04,6.25
2010-04,6.16
2010-04,6.07
2010-04,6.02
2010-04,5.96
2010-04,5.94
2010-04,5.93
2010-04,5.96
2010-04,5.93
2010-04,5.92
2010-04,5.96
2010-04,5.98
2010-04,5.99
2010-04,6.09
2010-04,6.33
2010-04,6.3
2010-04,6.17
2010-05,6.14
2010-05,6.26
2010-05,6.57
2010-05,6.92
2010-05,7.51
2010-05,6.95
2010-05,7.07
2010-05,6.96
2010-05,6.89
2010-05,7.0
2010-05,7.11
2010-05,7.14
2010-05,7.47
2010-05,7.68
2010-05,8.04
2010-05,8.03
2010-05,8.35
2010-05,8.23
2010-05,7.98
2010-05,7.87
2010-05,7.99
2010-06,8.01
2010-06,8.02
2010-06,7.96
2010-06,8.04
2010-06,8.22
2010-06,8.32
2010-06,8.39
2010-06,8.42
2010-06,8.41
2010-06,8.24
2010-06,8.19
2010-06,8.1
2010-06,8.04
2010-06,7.89
2010-06,7.63
2010-06,7.66
2010-06,7.72
2010-06,7.85
2010-06,7.88
2010-06,7.86
2010-06,7.94
2010-06,7.79
2010-07,7.8
2010-07,7.79
2010-07,7.81
2010-07,7.72
2010-07,7.71
2010-07,7.56
2010-07,7.49
2010-07,7.49
2010-07,7.41
2010-07,7.24
2010-07,7.24
2010-07,7.25
2010-07,7.24
2010-07,7.22
2010-07,7.16
2010-07,7.09
2010-07,6.98
2010-07,6.87
2010-07,6.72
2010-07,6.72
2010-07,6.68
2010-07,6.69
2010-07,6.57
2010-08,6.52
2010-08,6.48
2010-08,6.47
2010-08,6.49
2010-08,6.5
2010-08,6.49
2010-08,6.52
2010-08,6.68
2010-08,6.76
2010-08,6.78
2010-08,6.78
2010-08,6.72
2010-08,6.67
2010-08,6.61
2010-08,6.65
2010-08,6.61
2010-08,6.68
2010-08,6.72
2010-08,6.73
2010-08,6.72
2010-08,6.78
2010-08,6.83
2010-09,6.73
2010-09,6.64
2010-09,6.56
2010-09,6.51
2010-09,6.57
2010-09,6.54
2010-09,6.43
2010-09,6.34
2010-09,6.23
2010-09,6.12
2010-09,6.03
2010-09,5.96
2010-09,5.97
2010-09,5.92
2010-09,5.91
2010-09,5.97
2010-09,6.1
2010-09,6.06
2010-09,6.08
2010-09,6.1
2010-09,6.01
2010-09,5.91
2010-10,5.89
2010-10,5.85
2010-10,5.8
2010-10,5.79
2010-10,5.67
2010-10,5.67
2010-10,5.6
2010-10,5.62
2010-10,5.52
2010-10,5.52
2010-10,5.5
2010-10,5.52
2010-10,5.49
2010-10,5.44
2010-10,5.4
2010-10,5.35
2010-10,5.32
2010-10,5.31
2010-10,5.29
2010-10,5.29
2010-10,5.34
2010-10,5.52
2010-11,5.53
2010-11,5.52
2010-11,5.55
2010-11,5.58
2010-11,5.57
2010-11,5.57
2010-11,5.61
