,0
2024-01-12,-0.7079
2024-01-19,-0.8061
2024-01-26,-0.8313
2024-02-02,-0.7519
2024-02-09,-0.6029
2024-02-16,-0.6479
2024-02-23,-0.6735
2024-03-01,-0.7894
2024-03-08,-0.7872
2024-03-15,-0.9253
2024-03-22,-0.9412
2024-03-29,-0.9296
2024-04-05,-0.8499
2024-04-12,-0.801
2024-04-19,-0.4263
2024-04-26,-0.8414
2024-05-03,-0.8306
2024-05-10,-0.9173
2024-05-17,-0.9077
2024-05-24,-0.9615
2024-05-31,-0.8549
2024-06-07,-0.8352
2024-06-14,-0.8674
2024-06-21,-0.8241
2024-06-28,-0.8343
2024-07-05,-0.83
2024-07-12,-0.8232
2024-07-19,-0.6567
2024-07-26,-0.6221
2024-08-02,-0.3316
2024-08-09,-0.1643
2024-08-16,-0.7333
2024-08-23,-0.641
2024-08-30,-0.6459
2024-09-06,-0.3904
2024-09-13,-0.3116
2024-09-20,-0.4357
2024-09-27,-0.2683
2024-10-04,-0.613
2024-10-11,-0.5992
2024-10-18,-0.5331
2024-10-25,-0.3915
2024-11-01,-0.2991
2024-11-08,-0.5652
2024-11-15,-0.8012
2024-11-22,-0.6116
2024-11-29,-0.6107
2024-12-06,-0.5259
2024-12-13,-0.5833
2024-12-20,-0.5115
2024-12-27,-0.6315
2025-01-03,-0.6265
2025-01-10,-0.8117
2025-01-17,-0.8329
2025-01-24,-0.9788
2025-01-31,-0.7661
2025-02-07,-0.7886
2025-02-14,-0.8359
2025-02-21,-0.7613
2025-02-28,-0.455
2025-03-07,-0.3613
2025-03-14,-0.2261
2025-03-21,-0.6498
2025-03-28,-0.6311
2025-04-04,0.0907
2025-04-11,0.5536
2025-04-18,-0.2106
2025-04-25,-0.2765
2025-05-02,-0.3467
2025-05-09,-0.4793
