Date,Instrument,Price Close
2012-07-20,.SPX,1362.66
2012-07-23,.SPX,1350.52
2012-07-24,.SPX,1338.31
2012-07-25,.SPX,1337.89
2012-07-26,.SPX,1360.02
2012-07-27,.SPX,1385.97
2012-07-30,.SPX,1385.3
2012-07-31,.SPX,1379.32
2012-08-01,.SPX,1375.14
2012-08-02,.SPX,1365.0
2012-08-03,.SPX,1390.99
2012-08-06,.SPX,1394.23
2012-08-07,.SPX,1401.35
2012-08-08,.SPX,1402.22
2012-08-09,.SPX,1402.8
2012-08-10,.SPX,1405.87
2012-08-13,.SPX,1404.11
2012-08-14,.SPX,1403.93
2012-08-15,.SPX,1405.53
2012-08-16,.SPX,1415.51
2012-08-17,.SPX,1418.16
2012-08-20,.SPX,1418.13
2012-08-21,.SPX,1413.17
2012-08-22,.SPX,1413.49
2012-08-23,.SPX,1402.08
2012-08-24,.SPX,1411.13
2012-08-27,.SPX,1410.44
2012-08-28,.SPX,1409.3
2012-08-29,.SPX,1410.49
2012-08-30,.SPX,1399.48
2012-08-31,.SPX,1406.58
2012-08-31,.SPX,1406.58
2012-09-04,.SPX,1404.94
2012-09-05,.SPX,1403.44
2012-09-06,.SPX,1432.12
2012-09-07,.SPX,1437.92
2012-09-10,.SPX,1429.08
2012-09-11,.SPX,1433.56
2012-09-12,.SPX,1436.56
2012-09-13,.SPX,1459.99
2012-09-14,.SPX,1465.77
2012-09-17,.SPX,1461.19
2012-09-18,.SPX,1459.32
2012-09-19,.SPX,1461.05
2012-09-20,.SPX,1460.26
2012-09-21,.SPX,1460.15
2012-09-24,.SPX,1456.89
2012-09-25,.SPX,1441.59
2012-09-26,.SPX,1433.32
2012-09-27,.SPX,1447.15
2012-09-28,.SPX,1440.67
2012-10-01,.SPX,1444.49
2012-10-02,.SPX,1445.75
2012-10-03,.SPX,1450.99
2012-10-04,.SPX,1461.4
2012-10-05,.SPX,1460.93
2012-10-08,.SPX,1455.88
2012-10-09,.SPX,1441.48
2012-10-10,.SPX,1432.56
2012-10-11,.SPX,1432.84
2012-10-12,.SPX,1428.59
2012-10-15,.SPX,1440.13
2012-10-16,.SPX,1454.92
2012-10-17,.SPX,1460.91
2012-10-18,.SPX,1457.34
2012-10-19,.SPX,1433.19
2012-10-22,.SPX,1433.82
2012-10-23,.SPX,1413.11
2012-10-24,.SPX,1408.75
2012-10-25,.SPX,1412.97
2012-10-26,.SPX,1411.94
2012-10-26,.SPX,1411.94
2012-10-26,.SPX,1411.94
2012-10-31,.SPX,1412.16
2012-11-01,.SPX,1427.59
