,Instrument,Price Close,Date
73808,URI.N,83.23,2020-03-12T00:00:00Z
73809,URI.N,91.01,2020-03-13T00:00:00Z
73810,URI.N,83.23,2020-03-16T00:00:00Z
73811,URI.N,81.43,2020-03-17T00:00:00Z
73812,URI.N,69.59,2020-03-18T00:00:00Z
73813,URI.N,77.71,2020-03-19T00:00:00Z
73814,URI.N,70.1,2020-03-20T00:00:00Z
73815,URI.N,70.89,2020-03-23T00:00:00Z
73816,URI.N,86.61,2020-03-24T00:00:00Z
73817,URI.N,93.19,2020-03-25T00:00:00Z
73818,URI.N,99.18,2020-03-26T00:00:00Z
73819,URI.N,90.15,2020-03-27T00:00:00Z
73820,URI.N,95.16,2020-03-30T00:00:00Z
73821,URI.N,102.9,2020-03-31T00:00:00Z
73822,URI.N,95.98,2020-04-01T00:00:00Z
73823,URI.N,96.16,2020-04-02T00:00:00Z
73824,URI.N,91.07,2020-04-03T00:00:00Z
73825,URI.N,103.18,2020-04-06T00:00:00Z
73826,URI.N,107.93,2020-04-07T00:00:00Z
73827,URI.N,111.64,2020-04-08T00:00:00Z
73828,URI.N,107.71,2020-04-09T00:00:00Z
73829,URI.N,103.76,2020-04-13T00:00:00Z
73830,URI.N,108.64,2020-04-14T00:00:00Z
73831,URI.N,103.79,2020-04-15T00:00:00Z
73832,URI.N,98.55,2020-04-16T00:00:00Z
73833,URI.N,105.05,2020-04-17T00:00:00Z
73834,URI.N,100.6,2020-04-20T00:00:00Z
73835,URI.N,97.67,2020-04-21T00:00:00Z
73836,URI.N,100.62,2020-04-22T00:00:00Z
73837,URI.N,103.73,2020-04-23T00:00:00Z
73838,URI.N,106.05,2020-04-24T00:00:00Z
73839,URI.N,111.03,2020-04-27T00:00:00Z
73840,URI.N,116.55,2020-04-28T00:00:00Z
73841,URI.N,127.98,2020-04-29T00:00:00Z
73842,URI.N,128.5,2020-04-30T00:00:00Z
73843,URI.N,119.28,2020-05-01T00:00:00Z
73844,URI.N,116.75,2020-05-04T00:00:00Z
73845,URI.N,113.87,2020-05-05T00:00:00Z
73846,URI.N,110.81,2020-05-06T00:00:00Z
73847,URI.N,112.73,2020-05-07T00:00:00Z
73848,URI.N,119.58,2020-05-08T00:00:00Z
73849,URI.N,116.52,2020-05-11T00:00:00Z
