"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma91",1.428994,0.128172,11.149005,0,"VentureComposite GEPU",0.414101278119655
"beta91",0.151578,0.080901,1.87362,0.060983,"VentureComposite GEPU",0.0430568762674438
"m91",15.632195,0.177355,88.140741,0,"VentureComposite GEPU",63645.611991
"theta91",0.158892,0.007197,22.078488,0,"VentureComposite GEPU",63683.544898
"w291",1.028457,0.046936,21.91178,0,"VentureComposite GEPU",-31816.8059956816
"alpha92",0.109026,0.025031,4.355669,1.3e-05,"VentureComposite GPR",4.18688926416098
"gamma92",1.30463,0.28831,4.525097,6e-06,"VentureComposite GPR",0.39171348674216
"beta92",0.220267,0.175855,1.252552,0.210369,"VentureComposite GPR",0.0164006099226781
"m92",15.410555,0.182182,84.588769,0,"VentureComposite GPR",63711.015972
"theta92",-0.092291,0.006541,-14.108911,0,"VentureComposite GPR",63748.948878
